State District,Crop,Rendimento_Medio,Precipitacao_Anual_Media,Precipitacao_Jun_Sep_Media,Temp_Media_JanFeb,Temp_Media_MarMay,Temp_Media_JunSep,Temp_Media_OctDec
HARYANA - JIND,BARLEY,3.6454545454545455,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - JIND,MAIZE,3.095,1213.35,907.2,19.345,26.105,27.62,22.060000000000002
HARYANA - JIND,RICE,2.4518181818181817,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - JIND,WHEAT,4.372272727272727,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - KAITHAL,MAIZE,2.0,1183.1,866.5,18.87,25.69,27.6,21.89
HARYANA - KAITHAL,RICE,2.894090909090909,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - KAITHAL,WHEAT,4.515909090909091,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - KARNAL,BARLEY,3.5,1198.8,886.6,22.25,28.86,28.44,24.2
HARYANA - KARNAL,MAIZE,3.651818181818182,1136.2818181818182,852.6727272727272,20.14636363636364,26.874545454545455,27.69818181818182,22.815454545454546
HARYANA - KARNAL,RICE,3.069545454545455,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - KARNAL,WHEAT,4.521818181818182,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - KURUKSHETRA,MAIZE,3.38375,1158.8,871.6375,20.134999999999998,26.8425,27.830000000000002,22.97
HARYANA - KURUKSHETRA,RICE,3.589090909090909,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
